Date,Open,High,Low,Close,Volume
11-May-22,13.33,13.94,12.24,12.34,"28,635,669"
12-May-22,12.05,14.14,11.8,13.62,"23,504,591"
13-May-22,13.89,15.9,13.82,15.87,"23,371,302"
16-May-22,15.56,16.16,15.26,15.48,"16,844,101"
17-May-22,15.83,16.22,14.68,15.55,"19,239,412"
18-May-22,15.24,15.92,14.32,14.42,"11,321,161"
19-May-22,14.29,15.07,14.14,14.73,"11,288,903"
20-May-22,14.96,15.04,13.68,14.51,"10,296,138"
23-May-22,14.58,14.58,13.05,13.62,"9,707,087"
24-May-22,13.47,13.47,12.34,12.52,"10,298,333"
25-May-22,12.43,13.27,12.43,13.05,"12,435,812"
26-May-22,13.17,13.95,12.87,13.9,"12,969,193"
27-May-22,13.96,14.52,13.87,14.51,"8,389,485"
31-May-22,14.46,14.74,13.77,13.96,"11,233,772"
01-Jun-22,13.88,14.31,12.89,12.94,"13,768,071"
02-Jun-22,12.99,13.41,12.92,13.17,"13,431,423"
03-Jun-22,13.02,13.1,12.37,12.53,"8,510,214"
06-Jun-22,12.65,12.87,12.29,12.48,"9,051,057"
07-Jun-22,12.22,12.53,11.9,12.43,"14,529,391"
08-Jun-22,12.42,13.01,12.13,12.19,"10,673,530"
09-Jun-22,12.07,12.1,11.1,11.12,"15,193,365"
10-Jun-22,10.9,11.08,10.46,10.51,"12,983,795"
13-Jun-22,10.01,10.35,9.61,9.84,"13,492,689"
14-Jun-22,9.97,10.08,9.45,9.58,"10,078,392"
15-Jun-22,9.61,10.24,9.61,10.13,"10,847,498"
16-Jun-22,9.75,9.97,9.29,9.45,"10,372,652"
17-Jun-22,9.43,9.92,9.37,9.74,"9,527,374"
